ACCTXXX,Accounting Elec,ACCT303,ACCT326,ACCT428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHXXX,Art History Elec,ARTH160,ARTH200,ARTH282,ARTH285,ARTH288,ARTH333,ARTH376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTSXXX,Studio Art Elec,ARTS110,ARTS120,ARTS167,ARTS234,ARTS241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOLAAA,Cell and Mol Elec,BIOL262,BIOL307,BIOL340,BIOL360,BIOL371,BIOL409,BIOL453,CHEM300,CHEM301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOLBBB,Organismal Elec,BIOL203,BIOL211,BIOL232,BIOL251,BIOL320,BIOL336,BIOL350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOLCCC,Physiology Elec,BIOL224,BIOL235,BIOL242,BIOL255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOLDDD,Ecology Elec,BIOL248,BIOL457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOLEEE,Advanced Elec,BIOL490,BIOL495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOLXXX,All Biology Elec,BIOL262,BIOL307,BIOL340,BIOL360,BIOL371,BIOL409,BIOL453,CHEM300,CHEM301,BIOL203,BIOL211,BIOL232,BIOL251,BIOL320,BIOL336,BIOL350,BIOL224,BIOL235,BIOL242,BIOL255,BIOL248,BIOL457,BIOL490,BIOL495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMXXX,Chem Elec,CHEM301,CHEM304,CHEM390,FDSC405,FDSC408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMADS,Act Direct Elec,COMM201,COMM205,COMM212,COMM214,COMM260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMCCC,Communication,COMM202,COMM207,COMM220,COMM230,COMM234,COMM245,COMM308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMMMM,Media,COMM202,COMM220,COMM234,COMM245,COMM308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMSSS,Speech,COMM205,COMM207,COMM213,COMM328,COMM370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMVP,Visual Production,ARTH222,COMM200,COMM208,COMM262,COMM280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMVS,Visual Studies,ARTH160,ARTH200,ARTH273,COMM210,ENGL207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMWWW,Writing,COMM226,COMM312,ENGL225,ENGL282,ENGL284,ENGL286,ENGL333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMIVM,Int Visual Media,COMM262,COMM272,COMM309,COMM312,COMM316,COMM327,COMM330,COMM360,COMM366,COMM380,COMM390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTIVM,Art for IVM,COMM210,ARTH160,ARTH200,ARTH282,ARTH285,ARTH288,ARTH333,ARTH376,ARTS110,ARTS120,ARTS167,ARTS234,ARTS241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMTOCC,Manage and Market,MGMT215,MGMT280,MRKT181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLOCC,Writing,COMM226,ENGL225,ENGL280,ENGL282,ENGL284,ENGL286,ENGL331,ENGL335,ENGL371,ENGL372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
