Accounting,:,ACCT220,ACCT221,BUIS200,ECON101,ECON102,FINA248,MATH123,MGMT215,MGMT280,MGMT372,MRKT181,QUAN201,QUAN202,MGMT485,ACCT303,ACCT321,ACCT322,ACCT326,ACCT428,ACCT429,,,,
ASL,:,ASGN101,ASGN102,ASGN200,ASGN201,ASGN202,ASGN301,ASGN302,ASGN401,ASGN402,ASGN221,ASGN222,ASGN242,ASGN333,ASGN313,ASGN314,ASGN430,ASGN440,ASGN451,ASGN452,DFST101,DFST201,DFST222,DFST236,
Art History,:,ARTH270,ARTH272,ARTH273,ARTH383,ARTH483,:,ARTHXXX,ARTHXXX,ARTHXXX,ARTHXXX,ARTHXXX,ARTHXXX,ARTSXXX,ARTSXXX,,,,,,,,,,
Biology,:,BIOL160,BIOL161,BIOL208,BIOL260,BIOL308,BIOL318,BIOL402,CHEM107,CHEM108,CHEM207,MATH200,MATH208,BIOL460,:,BIOLAAA,BIOLBBB,BIOLCCC,BIOLDDD,BIOLXXX,BIOLXXX,,,,
BIT,:,ACCT220,ACCT221,BUIS200,ECON101,ECON102,FINA248,MATH123,MGMT215,MGMT280,MGMT372,MRKT181,QUAN201,QUAN202,CSCI108,CSCI120,CSCI130,CSCI258,CSCI360,CSCI376,BUIS460,,,,
Chemistry (Biochem),:,CHEM107,CHEM108,CHEM207,CHEM208,MATH219,MATH220,PHYS211,PHYS212,CHEM301,CHEM303,CHEM304,CHEM321,CHEM332,CHEM401,CHEM480,CHEM481,,,,,,,,
Chemistry (Gen),:,CHEM107,CHEM108,CHEM207,CHEM208,MATH219,MATH220,PHYS211,PHYS212,CHEM303,CHEM321,CHEM401,CSCI120,:,CHEMXXX,CHEMXXX,,,,,,,,,
Comms (Comm Study),:,COMM115,COMM130,COMM250,COMM450,:,COMMCCC,COMMCCC,COMMADS,COMMADS,COMMVS,COMMVS,COMMVP,COMMVP,COMMWWW,COMMWWW,,,,,,,,,
Comm (IVM),:,COMM115,COMM130,COMM250,COMM450,COMM200,COMM208,COMM225,COMM226,COMM280,COMM315,COMM405,COMM495,:,ARTIVM,ARTIVM,COMMIVM,COMMIVM,COMMIVM,,,,,,
COMM (OCC),:,COMM115,COMM130,COMM250,COMM450,COMM200,COMM230,COMM270,COMM275,COMM495,:,COMMSSS,COMMMMM,ENGLOCC,ENGLOCC,MMTOCC,COMMOCC,COMMOCC,,,,,,,
COMM (THE),:,COMM115,COMM130,COMM250,COMM450,COMM214,COMM260,COMM264,COMM364,THEA101,:,ENGLTHE,FASHTHE,COMMTHE,COMMTHE,COMMTHE,,,,,,,,,
Comp Sci (GEN),:,CSCI120,CSCI130,CSCI200,CSCI215,CSCI258,CSCI360,MATH117,MATH215,CSCI271,CSCI317,CSCI347,CSCI352,CSCI362,CSCI460,CSCI465,CSCI477,:,CSCIGEN,CSCIGEN,SCI,SCI,,,
Comp Sci (GENC),:,CSCI120,CSCI130,CSCI200,CSCI215,CSCI258,CSCI360,MATH117,MATH215,CSCI271,CSCI317,CSCI347,CSCI352,CSCI362,CSCI410,CSCI460,CSCI465,CSCI477,:,CSCIGEN,CSCIGEN,SCI,SCI,,
Comp Sci (UCSI),:,CSCI120,CSCI130,CSCI200,CSCI215,CSCI258,CSCI360,MATH117,MATH215,CSCI108,CSCI345,CSCI373,CSCI376,ACCT220,BUIS411,BUIS460,ECON101,MGMT280,:,CSCIIS,CSCIIS,CSCIIS,,,
Comp Sci (UCSO),:,CSCI120,CSCI130,CSCI200,CSCI215,CSCI258,CSCI360,MATH117,MATH215,CSCI108,CSCI310,CSCI345,CSCI373,CSCI376,CSCI410,MATH206,ACCT220,BUIS411,BUIS460,ECON101,MGMT280,:,CSCIIS,CSCIIS,CSCIIS
Early Ed,:,HIST151,HIST152,POSC110,POSC211,POSC250,EDUC200,EDUC222,EDUC320,EDUC374,EDUC376,PSYC200,EDUC431,EDUC432,,,,,,,,,,,
El Ed,:,HIST151,HIST152,POSC110,POSC211,POSC250,EDUC200,EDUC222,EDUC322,EDUC341,EDUC346,PSYC200,EDUC437,EDUC438,,,,,,,,,,,
Criminology,:,CRIM121,CRIM301,SOCI302,SOCI303,SOCI320,CRIM495,:,CRIMLLL,CRIMLLL,CRIMSSS,CRIMSSS,CRIMIII,CRIMIII,,,,,,,,,,,
Earth Science,:,ASTR220,ASTR230,CHEM107,CHEM108,EASC131,EASC241,EASC246,ENVS101,GEOL231,GEOL233,MATH220,PHYS201,EASC450,:,EARTSCI,EARTSCI,,,,,,,,
Econ (ueob),:,ECON101,ECON102,ECON301,ECON302,QUAN201,QUAN202,MATH123,ECON480,ACCT220,FINA330,MGMT280,MRKT181,:,ECONBIZ,ECONXXX,ECONXXX,ECONXXX,ECONXXX,ECONXXX,,,,,
Econ (UEOF),:,ECON101,ECON102,ECON301,ECON302,QUAN201,QUAN202,MATH123,ECON480,ACCT220,ECON320,FINA248,FINA431,:,FINAEEE,ECONXXX,ECONXXX,ECONXXX,ECONXXX,ECONXXX,,,,,
English (uenl),:,ENGL204,ENGL422,ENGL212,ENGL217,ENGL300,ENGL329,:,ENGLWWW,ENGLAAA,ENGLBBB,ENGLCCC,ENGLCCC,ENGLDDD,ENGLEEE,ENGLXXX,ENGLXXX,ENGLXXX,,,,,,,
English (uenc),:,ENGL204,ENGL282,ENGL283,ENGL284,ENGL410,ENGL422,:,ENGLWWW,ENGLAAA,ENGLBBB,ENGLCCC,ENGLCCC,ENGLDDD,ENGLEEE,ENGLXXX,ENGLXXX,ENGLXXX,,,,,,,
English (uenj),:,ENGL204,ENGL225,ENGL331,ENGL335,ENGL496,ENGL422,:,ENGLWWW,ENGLAAA,ENGLBBB,ENGLCCC,ENGLCCC,ENGLDDD,ENGLEEE,ENGLXXX,ENGLXXX,ENGLXXX,,,,,,,
Enviro,:,BIOL130,BIOL251,BIOL248,CHEM103,CHEM201,ECON102,GEOL231,GEOG216,GEOG235,GEOG375,ENVS101,ENVS202,ENVS451,ENVS452,:,SCIENVI,SCIENVI,POLENVI,POLENVI,POLENVI,COMENVI,,,
Fashion (Apparel),:,FASH140,FASH141,FASH153,FASH223,FASH245,FASH326,FASH362,MATH117,ARTS222,FASH200,FASH243,FASH342,FASH352,FASH355,FASH357,FASH447,FASH448,FASH449,FASH487,,,,,
Fashion (Merch),:,FASH140,FASH141,FASH153,FASH223,FASH245,FASH326,FASH362,MATH117,FASH003,FASH241,FASH310,FASH346,FASH410,FASH452,FASH464,FASH496,:,FASHXXX,FASHXXX,,,,,
Finance (GEN),:,ACCT220,ACCT221,BUIS200,ECON101,ECON102,FINA248,MATH107,MATH217,MGMT215,MGMT280,MGMT372,MRKT181,FINA301,FINA431,FINA445,MGMT485,:,FINAGEN,FINAGEN,FINAGEN,,,,
Finance (PLAN),:,ACCT220,ACCT221,BUIS200,ECON101,ECON102,FINA248,MATH107,MATH217,MGMT215,MGMT280,MGMT372,MRKT181,ACCT428,FINA300,FINA321,FINA400,FINA445,:,FINAPPP,FINAPPP,,,,
Nutrition (NnD),:,NUTR205,NUTR262,NUTR364,NUTR381,NUTR384,NUTR478,NUTR482,PSYC101,BIOL130,BIOL235,BIOL307,CHEM107,CHEM108,CHEM207,CHEM301,NUTR005,NUTR374,NUTR479,NUTR483,,,,,
Nutrition (CPD),:,NUTR205,NUTR262,NUTR364,NUTR381,NUTR384,NUTR478,NUTR482,PSYC101,BIOL130,BIOL235,CHEM107,CHEM108,CHEM207,CHEM301,NUTR002,NUTR374,NUTR427,NUTR483,NUTR485,NUTR486,NUTR487,NUTR488,NUTR489,
